city,township,area_name,edit_date,change_date,old_address,new_address,edit_type,query_city,query_township,query_date_start,query_date_end,source_url,source_page,source_row_index,scraped_at,row_hash
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號九樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,25,2026-06-18T08:31:20.428424+00:00,5b714a0d1f1fcfaadab90a84a8fade9de25cc5ac6ffd70f93f849a03d524dbd5
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號七樓之３,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,26,2026-06-18T08:31:20.430868+00:00,90fd0643c5fce374edfd24928bfc69a1f4c229c1fd0bcec4c9ce9772a1e50e3f
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號六樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,27,2026-06-18T08:31:20.433421+00:00,b07cadb752b8b88402112455d08be0a3df333567b5f30f361b98551bd547398b
臺北市,中正區,臺北市中正區,民國114年8月6日,民國114年8月6日,,愛國里003鄰愛國西路４８巷１２號九樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,28,2026-06-18T08:31:20.436258+00:00,db40ae2271851f5454bc68b746d8fa10bc71d951109a8226d1a397ebb1788d29
臺北市,中正區,臺北市中正區,民國114年7月16日,民國114年7月16日,,河堤里004鄰金門街１２巷６之４號,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,29,2026-06-18T08:31:20.439004+00:00,71d2f93b4e0070572e606f088d120273554a1a06325e17aff5f1001e193d1e3c
臺北市,中正區,臺北市中正區,民國114年7月10日,民國114年7月10日,,建國里001鄰重慶南路一段１１８巷７號,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,30,2026-06-18T08:31:20.441918+00:00,537b344319b0f60a34fbea3779fec5f2c604962cf3c0f1dad6a25b6f9e6bcb81
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號二樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,31,2026-06-18T08:31:20.444708+00:00,9e2018b27c55993f6a8af84136253667e73f18f0392172ac29c6fc9a71055b02
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號三樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,32,2026-06-18T08:31:20.447610+00:00,04e153272b7dea65deb6e47692ecf9bc99b9202e71338fa6c019ac2ad82b1181
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號七樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,33,2026-06-18T08:31:20.449984+00:00,01583b9ae6f2d1e3a08ca26c0bb9c1a9a1764877c0e1f9ec49db2bbe07adab51
臺北市,中正區,臺北市中正區,民國114年7月9日,民國114年7月9日,,東門里008鄰紹興南街２２號五樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,1,34,2026-06-18T08:31:20.452126+00:00,598dafd0ed619dc04f6cfcdea4d6a10af589497d1f577ed4cf7e899fc9950d85
